"station","line","Year","Season","cruise","SB.","D.O.","Date","Hour","Quality","Sarah.s.scale..amt.of.background.","Types.of.Background","Detections.","SpeciesName","Blue.B","Blue.D","Fin.20Hz.Singular","Fin.20Hz.Song","Fin.C.C.","Fin.H.C.","Humpback.Song","Humpback.Non.song","Start.End","duration","Comments","Scan.Method","Time.window","Top.freq","Low.Freq","FFT.Length","Overlap","Order.Occ","latitude.","longitude","cruise"
100,76,2009,"Fall","CC0911NH","SB24","DIFAR","11/20/09","20:00:00","Poor","lots to tons","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,NA,7,"break 20:09:48 to 20:13:55","wav files, cts","60s","500Hz","0Hz","1500","98%",68,33.38824,-124.32289,"CC0911"
100,76,2010,"Summer","CC1008NH","SB49","DIFAR","8/14/10","17:00:00","High","bit","1,2,A","Yes","Blue whale",0,1,0,0,0,0,0,0,"starts 17:04:56",7,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",68,33.38824,-124.32289,"CC1008"
100,76,2010,"Summer","CC1008NH","SB49","DIFAR","8/14/10","20:00:00","High","bit to lots","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,"ends 20:16:26",8,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",68,33.38824,-124.32289,"CC1008"
100,76,2010,"Summer","CC1008NH","SB49","DIFAR","8/14/10","19:00:00","High","bit","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,NA,6,"break 19:21:48 to 19:31:57 and 19:50:04 to 19:55:12","wav files, cts","60s","500Hz","0Hz","1500","98%",68,33.38824,-124.32289,"CC1008"
100,76,2009,"Fall","CC0911NH","SB24","DIFAR","11/20/09","21:00:00","Poor","lots to tons","1,2,3","No",NA,0,0,0,0,0,0,0,0,"ends 21:17:45",3,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",68,33.38824,-124.32289,"CC0911"
100,76,2009,"Fall","CC0911NH","SB24","DIFAR","11/20/09","19:00:00","Medium","lots","1,2,3","No",NA,0,0,0,0,0,0,0,0,NA,7,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",68,33.38824,-124.32289,"CC0911"
100,76,2009,"Fall","CC0911NH","SB24","DIFAR","11/20/09","18:00:00","Poor","tons","1,2,3","No",NA,0,0,0,0,0,0,0,0,"starts 18:58:50",1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",68,33.38824,-124.32289,"CC0911"
100,76,2010,"Summer","CC1008NH","SB49","DIFAR","8/14/10","18:00:00","High","bit","1,2,A","No",NA,0,0,0,0,0,0,0,0,NA,7,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",68,33.38824,-124.32289,"CC1008"
100,80,2008,"Fall","CC0810NH","SB26","DIFAR","10/27/08","18:00:00","Medium","bit to lots","1,2,3,A,B","Yes","Blue whale",0,1,0,1,0,0,0,0,NA,6,"static takes over 7min 48sec into each 10min file ","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0810"
100,80,2008,"Fall","CC0810NH","SB26","DIFAR","10/27/08","18:00:00","Medium","bit to lots","1,2,3,A,B","Yes","Fin whale",0,1,0,1,0,0,0,0,NA,6,"static takes over 7min 48sec into each 10min file ","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0810"
100,80,2005,"Fall","CC0511NH","SB30","OMNI","11/18/05","20:00:00","High**","bit to lots**","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,"ends 20:19:59",2,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0511"
100,80,2005,"Fall","CC0511NH","SB30","OMNI","11/18/05","19:00:00","High**","bit to lots**","1,2,3,A,B","Yes","Fin whale",0,0,1,1,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0511"
100,80,2004,"Fall","CC0411R","SB41","OMNI","11/16/04","23:00:00","High**","bit to lots**","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC041"
100,80,2011,"Summer","CC1108NH","SB55","DIFAR","8/10/11","19:00:00","Poor","tons","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,"ends 19:18:59",2,"most files following same 5m11s pattern, first half not bad","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1108"
100,80,2008,"Fall","CC0810NH","SB26","DIFAR","10/27/08","17:00:00","High","bit to lots","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,"starts 17:28:54",4,"static takes over 7min 48sec into each 10min file ","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0810"
100,80,2010,"Winter","CC1001","SB24","DIFAR","1/29/10","20:00:00","High","bit to lots","1,2,3,B","Yes","Fin whale",0,0,0,1,0,0,1,0,"ends 20:18:34",2,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2010,"Winter","CC1001","SB24","DIFAR","1/29/10","20:00:00","High","bit to lots","1,2,3,B","Yes","Humpback whale",0,0,0,1,0,0,1,0,"ends 20:18:34",2,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2006,"Fall","CC0611R","SB31","OMNI","11/3/06","14:00:00","Poor","tons","1,2,A","No",NA,0,0,0,0,0,0,0,0,"starts 14:43:07",2,"looks broken","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC061"
100,80,2011,"Spring","CC1104SH","SB54","DIFAR","4/25/11","0:00:00","High","bit to lots","1,2,3","No",NA,0,0,0,0,0,0,0,0,"ends 0:08:52",1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1104"
100,80,2011,"Spring","CC1104SH","SB54","DIFAR","4/24/11","22:00:00","High","bit","1,2,3,A","Yes","Humpback whale",0,0,0,0,0,0,1,0,NA,4,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1104"
100,80,2011,"Fall","CC1110NH","SB36","DIFAR","10/30/11","23:00:00","High","bit to lots","1,2,3,A","Yes","Humpback whale",0,0,0,0,0,0,1,0,"starts 23:16:15",3,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1110"
100,80,2006,"Fall","CC0611R","SB31","OMNI","11/3/06","15:00:00","Poor","tons","1,2,A","No",NA,0,0,0,0,0,0,0,0,NA,6,"looks broken","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC061"
100,80,2010,"Winter","CC1001","SB24","DIFAR","1/29/10","18:00:00","High","bit  ","1,2,3","Yes","Fin whale",0,0,0,1,0,0,1,0,NA,1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2010,"Winter","CC1001","SB24","DIFAR","1/29/10","18:00:00","High","bit  ","1,2,3","Yes","Humpback whale",0,0,0,1,0,0,1,0,NA,1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2011,"Spring","CC1104SH","SB54","DIFAR","4/24/11","23:00:00","High","bit","1,2,3,A","Yes","Humpback whale",0,0,0,0,0,0,1,0,NA,5,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1104"
100,80,2007,"Summer","CC0707","SB27","OMNI","7/12/07","0:00:00","Poor","tons","1,2,A,B","No",NA,0,0,0,0,0,0,0,0,"starts 0:53:53",1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC07"
100,80,2011,"Summer","CC1108NH","SB55","DIFAR","8/10/11","17:00:00","Poor","tons","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,NA,6,"most files following same 5m11s pattern, first half not bad","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1108"
100,80,2010,"Winter","CC1001","SB24","DIFAR","1/29/10","19:00:00","High","bit to lots","1,2,3,B","Yes","Fin whale",0,0,1,1,0,0,1,0,NA,1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2010,"Winter","CC1001","SB24","DIFAR","1/29/10","19:00:00","High","bit to lots","1,2,3,B","Yes","Humpback whale",0,0,1,1,0,0,1,0,NA,1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2012,"Fall","CC1210NH","SB47","DIFAR","11/2/12","18:00:00","High","bit","1,2,3","Yes","Humpback whale",0,0,0,0,0,0,1,0,NA,1,NA,"wav file, cts","60s","500Hz","0Hz","3500","98%",67,32.81667,-123.90599,"CC1210"
100,80,2012,"Fall","CC1210NH","SB47","DIFAR","11/2/12","19:00:00","High","bit","1,2,3","Yes","Humpback whale",0,0,0,0,0,0,1,0,"ends 19:45",1,NA,"wav file, cts","60s","500Hz","0Hz","3500","98%",67,32.81667,-123.90599,"CC1210"
100,80,2011,"Fall","CC1110NH","SB36","DIFAR","10/31/11","1:00:00","High","bit","1,2,3,B","Yes","Humpback whale",0,0,0,0,0,0,1,0,"ends 1:40:59",3,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1110"
100,80,2005,"Fall","CC0511NH","SB30","OMNI","11/18/05","18:00:00","High**","bit**","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0511"
100,80,2010,"Fall","CC1011","SB33","DIFAR","11/11/10","16:00:00","High","bit","1,2,3","No",NA,0,0,0,0,0,0,0,0,"starts 16:47:32",1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2010,"Fall","CC1011","SB33","DIFAR","11/11/10","18:00:00","High","bit","1,2","No",NA,0,0,0,0,0,0,0,0,NA,2,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2006,"Winter","CC0602","SB30","OMNI","2/17/06","22:00:00","High","bit","1,2","No",NA,0,0,0,0,0,0,0,0,"ends 22:09:59",1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC06"
100,80,2008,"Fall","CC0810NH","SB26","DIFAR","10/27/08","19:00:00","Medium","bit to lots","1,2,3,A,B","adhoc only",NA,0,0,0,0,0,0,0,0,NA,6,"adhoc Blue D; static takes over 7min 48sec into each 10min file ","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0810"
100,80,2009,"Summer","CC0907MA","SB33","OMNI","7/28/09","22:00:00",NA,"lots to tons","1,2,3,A.B","No",NA,0,0,0,0,0,0,0,0,"starts 22:06:58",6,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0907"
100,80,2004,"Fall","CC0411R","SB41","OMNI","11/16/04","22:00:00","High**","bit to lots**","1,2,3,A","adhoc only",NA,0,0,0,0,0,0,0,0,NA,6,"adhoc Blue B; static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC041"
100,80,2005,"Summer","CC0507NH","SB29","OMNI","7/14/05","14:00:00","High**","bit**","1,2,3,A","Yes","Fin whale",0,0,0,0,0,1,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0507"
100,80,2008,"Fall","CC0810NH","SB26","DIFAR","10/27/08","20:00:00","Medium","bit to lots","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,"ends 20:04:00",1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0810"
100,80,2011,"Fall","CC1110NH","SB36","DIFAR","10/31/11","0:00:00","High","bit to lots","1,2,3,A","Yes","Humpback whale",0,0,0,0,0,0,1,0,NA,4,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1110"
100,80,2010,"Fall","CC1011","SB33","DIFAR","11/11/10","17:00:00","High","bit","1,2,3","adhoc only",NA,0,0,0,0,0,0,0,0,NA,1,"adhoc Fin 20Hz song","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2006,"Fall","CC0611R","SB31","OMNI","11/3/06","17:00:00","Poor","tons","1,2,A,B","No",NA,0,0,0,0,0,0,0,0,NA,6,"looks broken","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC061"
100,80,2005,"Summer","CC0507NH","SB29","OMNI","7/14/05","13:00:00","High**","bit**","1,2,3,A","No",NA,0,0,0,0,0,0,0,0,"starts 13:03:59",6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0507"
100,80,2004,"Spring","CC0404NH","SB39","OMNI","4/6/04","19:00:00","Medium**","bit to lots**","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0404"
100,80,2007,"Summer","CC0707","SB27","OMNI","7/12/07","2:00:00","High**","bit to lots**","1,2,3,A,B","adhoc only",NA,0,0,0,0,0,0,0,0,NA,6,"adhoc Blue D; static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC07"
100,80,2005,"Spring","CC0504NH","SB80","OMNI","4/28/05","13:00:00","High**","bit to lots**","1,2,3,A","No",NA,0,0,0,0,0,0,0,0,"starts 13:33:37",3,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0504"
100,80,2011,"Summer","CC1108NH","SB55","DIFAR","8/10/11","18:00:00","Poor","tons","1,2,3,A,B","Yes","Fin whale",0,0,0,1,0,0,0,0,NA,6,"most files following same 5m11s pattern, first half not bad","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1108"
100,80,2004,"Fall","CC0411R","SB41","OMNI","11/16/04","21:00:00","High**","bit**","1,2,3,A,B","Yes","Fin whale",0,0,1,0,0,0,0,0,"starts 21:28:39",4,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC041"
100,80,2007,"Summer","CC0707","SB27","OMNI","7/12/07","3:00:00","Poor","lots to tons","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,"ends 3:09:00",1,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC07"
100,80,2011,"Summer","CC1108NH","SB55","DIFAR","8/10/11","16:00:00","Poor","tons","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,"starts 16:32:08",3,"most files following same 5m11s pattern, first half not bad","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1108"
100,80,2004,"Fall","CC0411R","SB41","OMNI","11/17/04","0:00:00","High**","bit to lots**","1,2,3,A,B","Yes","Fin whale",0,0,0,1,0,0,0,0,"ends 0:16:24",2,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC041"
100,80,2004,"Spring","CC0404NH","SB39","OMNI","4/6/04","20:00:00","Medium**","lots**","1,2,A,B","No",NA,0,0,0,0,0,0,0,0,"ends 20:14:02",2,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0404"
100,80,2007,"Summer","CC0707","SB27","OMNI","7/12/07","1:00:00","High**","bit to lots**","1,2,3,A,B","No",NA,0,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC07"
100,80,2010,"Fall","CC1011","SB33","DIFAR","11/11/10","19:00:00","High","bit","1,2,A","No",NA,0,0,0,0,0,0,0,0,"ends 19:34:59",1,"cuts out 19:34:04","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2010,"Winter","CC1001","SB24","DIFAR","1/29/10","17:00:00","High","bit to lots","1,2,3,A,B","Yes","Fin whale",0,0,0,1,0,0,1,0,"starts 17:03:31",1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2010,"Winter","CC1001","SB24","DIFAR","1/29/10","17:00:00","High","bit to lots","1,2,3,A,B","Yes","Humpback whale",0,0,0,1,0,0,1,0,"starts 17:03:31",1,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC10"
100,80,2005,"Spring","CC0504NH","SB80","OMNI","4/28/05","14:00:00","High**","bit**","1,2,3,A","No",NA,0,0,0,0,0,0,0,0,"ends 14:46:10",5,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0504"
100,80,2006,"Winter","CC0602","SB30","OMNI","2/17/06","19:00:00","High","bit to lots","1,2,3","No",NA,0,0,0,0,0,0,0,0,"starts 19:18:29",5,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC06"
100,80,2004,"Spring","CC0404NH","SB39","OMNI","4/6/04","18:00:00","Medium**","lots**","1,2,3,A","No",NA,0,0,0,0,0,0,0,0,"starts 18:41:54",2,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC0404"
100,80,2012,"Fall","CC1210NH","SB47","DIFAR","11/2/12","17:00:00","High","bit","1,2,3","Yes","Blue whale",0,1,0,0,0,0,1,0,"starts 17:19:49",1,NA,"wav file, cts","60s","500Hz","0Hz","3500","98%",67,32.81667,-123.90599,"CC1210"
100,80,2012,"Fall","CC1210NH","SB47","DIFAR","11/2/12","17:00:00","High","bit","1,2,3","Yes","Humpback whale",0,1,0,0,0,0,1,0,"starts 17:19:49",1,NA,"wav file, cts","60s","500Hz","0Hz","3500","98%",67,32.81667,-123.90599,"CC1210"
100,80,2006,"Winter","CC0602","SB30","OMNI","2/17/06","21:00:00","High","bit to lots","1,2,3","Yes","Fin whale",0,0,0,1,0,0,1,0,NA,6,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC06"
100,80,2006,"Winter","CC0602","SB30","OMNI","2/17/06","21:00:00","High","bit to lots","1,2,3","Yes","Humpback whale",0,0,0,1,0,0,1,0,NA,6,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC06"
100,80,2011,"Spring","CC1104SH","SB54","DIFAR","4/24/11","21:00:00","High","bit","1,2,3,A,B","Yes","Humpback whale",0,0,0,0,0,0,1,0,"starts 21:30:56",2,NA,"wav files, cts","60s","500Hz","0Hz","1500","98%",67,32.81667,-123.90599,"CC1104"
